We made it.                                                                           --- Conseguimos!
Obi?                                                                                  --- Obi?
Obi!                                                                                  --- Obi!
Senator Padmé.                                                                        --- Senadora Padmé.
- Good to see you again,Jar Jar.                                                      --- É bom ver-te de novo Jar Jar.
Relax.                                                                                --- Relaxa.
Take a deep breath.                                                                   --- Inspira fundo.
yes.                                                                                  --- sim.
You fell into that nightmare, Master... and I rescued you, remember?                  --- Vôce caiu naquele pesadelo, mestre... e eu salvei-o, lembra-se?
I haven't felt you this tense since we fell into that nest of gundarks.               --- Não te sinto tão tenso desde que caímos naquele ninho de gundarks.
You're sweating.                                                                      --- Estás a transpirar.
I haven't seen her in ten years, Master.                                              --- Não a vejo à dez anos, mestre.
Do you really think that's a wise decision under these stressful times?               --- Acha realmente, que essa é uma decisão sensata nestes tempos conturbados?
Chancellor, if I may comment, I do not believe--                                      --- Chanceler, se me permite comentar, não acredito que a situação...
Senator Amidala, your tragedy on the landing platform-- terrible.                     --- Senadora Amidala, a sua tragédia na plataforma de aterragem, terrível.
What can I do?                                                                        --- O que posso fazer?
I can't.                                                                              --- Não posso.
We can't.                                                                             --- Não podemos.
It's... just not possible.                                                            --- É... impossível.
Listen to me.                                                                         --- Ouve-me.
No, you listen.                                                                       --- Não, ouve-me tu.
We live in a real world.                                                              --- Vivemos num mundo real.
If you follow your thoughts through to conclusion... it'll take us to a place we cannot go... regardless of the way we feel about each other. --- Se levares os teus pensamentos a uma conclusão... levar-nos-à a um lugar onde não podemos ir... independentemente do que sentimos um pelo outro.
You are asking me to be rational.                                                     --- Estás a pedir-me que seja racional.
That is something I know I cannot do.                                                 --- Isso é algo que eu sei que não consigo fazer.
We'd be living a lie... one we couldn't keep even if we wanted to.                    --- Iríamos viver uma mentira... uma que não poderíamos manter mesmo que quiséssemos.
Could you, Anakin?                                                                    --- Conseguias Anakin?
Could you live like that?                                                             --- Conseguias viver dessa maneira?
No.                                                                                   --- Não.
You're right.                                                                         --- Tens razão.
Victory, you say?                                                                     --- Vitória, dizes tu?
Victory?                                                                              --- Vitória?
I agree.                                                                              --- Eu concordo.
The shroud of the dark side has fallen.                                               --- O abrigo do lado negro caiu.
I have to admit that without the clones, it would not have been a victory.            --- Tenho de admitir que sem os clones, não teria sido uma vitória.
It is obvious that this contest cannot be decided... by our knowledge of the Force... but by our skills with a lightsabre. --- É óbvio que esta contenda não pode ser resolvida atavés do nosso conhecimento da Força... mas através das nossas capacidades com um sabre de luz.
Fought well you have, my old Padawan.                                                 --- Lutaste bem, meu velho Padawan.
Much to learn you still have.                                                         --- Ainda tens muito que aprender.
I've become more powerful than any Jedi.                                              --- Tornei-me mais poderoso que qualquer Jedi.
Count Dooku.                                                                          --- Conde Dooku.
Master Yoda.                                                                          --- Mestre Yoda.
Right away.                                                                           --- É para já.
Brave of you, boy.                                                                    --- É corajoso da tua parte, rapaz.
Surely you can do better.                                                             --- De certeza que consegues fazer melhor.
Where is your apprentice?                                                             --- Onde está o teu aprendiz?
