Well, I know.                                                                         --- Bem, eu sei.
I'm sadness.                                                                          --- - Sou a Tristeza.
Thanks.                                                                               --- Obrigada.
Very nice.                                                                            --- Muito bem...
No!                                                                                   --- Não!
It's broccoli!                                                                        --- São brócolos!
No dessert?                                                                           --- Sem sobremesa?!
Wait. Did he just say we couldn't have dessert?                                       --- Esperem, ouvi dizer "sem sobremesa"?
Hello.                                                                                --- Olá!
Er, for 33 seconds?                                                                   --- Quero dizer... por 33 segundos.
Just Riley and me. Forever.                                                           --- Só a Riley e eu, para sempre.
What is it?                                                                           --- O que é aquilo?
Hold on.                                                                              --- - Pára tudo!
She basically keeps Riley from being poisoned. Physically and socially.               --- - Esta é a Repulsa, ela evita que a Riley se envenene, fisicamente e socialmente.
The Joy?                                                                              --- A Alegria?
What the heck are you doing out here?                                                 --- O que raio fazes aqui?
- I cry candy.                                                                        --- Eu choro rebuçados.
- Hey, what's going on?                                                               --- - O que se passa?
Try the caramel. It's delicious.                                                      --- Experimenta os de caramelo, são deliciosos.
- Thanks!                                                                             --- - Obrigada.
She'd love that.                                                                      --- Ela vai adorar.
This is the greatest day of my life!                                                  --- É o melhor dia da minha vida.
- Of course!                                                                          --- - Claro.
- You will?                                                                           --- - Vais?
So I, you know...                                                                     --- Então, tu sabes...
Dolphin?                                                                              --- Golfinho?
Thank you!                                                                            --- - Obrigada.
I went to all of your concerts.                                                       --- - Fui a todos os shows.
- You ready?                                                                          --- - Estás pronta?
- Yeah.                                                                               --- - Sim.
All right, anger, take it!                                                            --- - Raiva, é contigo!
Not for long!                                                                         --- Não por muito tempo!
Things couldn't be better.                                                            --- Não podia ser melhor.
Anyone?                                                                               --- Alguém?
Five months, two weeks and four days until Summer vacation.                           --- 5 meses, 2 semanas e 4 dias para as férias.
Come fly with me, gatinha.                                                            --- Vem voar comigo, 'gatinha'.
Have a nice day.                                                                      --- Tenha um bom dia.
What are we mad about?                                                                --- - E porque está chateada?
I know. Totally.                                                                      --- Eu sei, completamente.
Six years of drama school for this?                                                   --- Seis anos na escola de actores... para isto.
The man has food.                                                                     --- - O Homem tem comida.
This is okay.                                                                         --- Está tudo bem.
I smell food.                                                                         --- - Cheira-me a comida.
