a	uma
abandon	abandonar
ability	capacidade
able	capaz
abortion	aborto
about	cerca de
above	acima
abroad	no exterior
absence	ausência
absolute	absoluto
absolutely	absolutamente
absorb	absorver
abstract	resumo
abuse	abuso
academic	acadêmico
accelerate	acelerar
accent	acento
accept	aceitar
acceptable	aceitável
acceptance	aceitação
access	acesso
accessible	acessível
accident	acidente
accommodate	acomodar
accompany	acompanhar
accomplish	realizar
accomplishment	realização
according	segundo
account	conta
accountability	prestação de contas
accounting	contabilidade
accuracy	exatidão
accurate	exato
accurately	precisamente
accusation	acusação
accuse	acusar
achieve	alcançar
achievement	conquista
acid	ácido
acknowledge	reconhecer
acquire	adquirir
acquisition	aquisição
across	através
act	aja
action	açao
active	ativo
actively	ativamente
activist	ativista
activity	atividade
actor	ator
actress	atriz
actual	real
actually	na realidade
ad	de anúncios
adapt	adaptar
add	adicionar
added	adicionado
addition	adição
additional	adicional
address	endereço
adequate	adequado
adjust	ajustar
adjustment	ajuste
administer	administrar
administration	administração
administrative	administrativo
administrator	administrador
admire	admirar
admission	admissão
admit	admitem
adolescent	adolescente
adopt	adotar
adoption	adoção
adult	adulto
advance	avançar
advanced	avançado
advantage	vantagem
adventure	aventura
advertising	publicidade
advice	conselho
advise	aconselhar
adviser	conselheiro
advocate	advogado
aesthetic	estético
affair	assunto
affect	afetar
afford	proporcionar
afraid	com medo
african	africano
african-american	afro-americano
after	depois
afternoon	tarde
afterward	depois
again	mais uma vez
against	contra
age	idade
agency	agência
agenda	agenda
agent	agente
aggression	agressão
aggressive	agressivo
ago	atrás
agree	concordar
agreement	acordo
agricultural	agrícola
agriculture	agricultura
ah	ah
ahead	à frente
aid	ajuda
aide	assessor
aids	auxilia
aim	objetivo
air	ar
aircraft	aeronave
airline	companhia aérea
airplane	avião
airport	aeroporto
aisle	corredor
alarm	alarme
album	álbum
alcohol	álcool
alien	alienígena
alike	alike
alive	vivo
all	todos
allegation	alegação
alleged	alegado
allegedly	alegadamente
alley	beco
alliance	aliança
allow	permitir
ally	aliado
almost	quase
alone	sozinho
along	ao longo
alongside	ao lado de
already	já
also	também
alter	alterar
alternative	alternativa
although	embora
altogether	completamente
aluminum	alumínio
always	sempre
am	sou
amazing	incrível
ambassador	embaixador
ambition	ambição
ambitious	ambicioso
amendment	emenda
american	americano
amid	entre
among	dentre
amount	quantidade
analysis	análise
analyst	analista
analyze	analisar
ancestor	antepassado
ancient	antigo
and	e
and/or	e / ou
angel	anjo
anger	raiva
angle	ângulo
angry	zangado
animal	animal
ankle	tornozelo
anniversary	aniversário
announce	anunciar
announcement	anúncio
annual	anual
annually	anualmente
anonymous	anônimo
another	outro
answer	responda
anticipate	antecipar
anxiety	ansiedade
anxious	ansioso
any	algum
anybody	alguém
anymore	mais
anyone	alguém
anything	qualquer coisa
anyway	de qualquer maneira
anywhere	em qualquer lugar
apart	à parte
apartment	apartamento
apologize	pedir desculpas
apology	desculpa
apparent	aparente
apparently	aparentemente
appeal	apelação
appear	aparecer
appearance	aparência
apple	maçã
application	aplicação
apply	aplicar
appoint	nomear
appointment	compromisso
appreciate	apreciar
appreciation	valorização
approach	abordagem
appropriate	apropriado
approval	aprovação
approve	aprovar
approximately	aproximadamente
arab	árabe
architect	arquiteto
architecture	arquitetura
are		estás
aren't	não estás
area	área
arena	arena
argue	argumentar
argument	argumento
arise	surgir
arm	braço
armed	armado
army	exército
around	por aí
arrange	organizar
arrangement	arranjo
array	matriz
arrest	prender
arrival	chegada
arrive	chegar
arrow	flecha
art	arte
article	artigo
articulate	articular
artifact	artefato
artificial	artificial
artist	artista
artistic	artístico
as	como
ash	cinza
asian	asiático
aside	de lado
ask	perguntar
asleep	adormecido
aspect	aspecto
ass	burro
assault	assalto
assemble	montar
assembly	montagem
assert	afirmar
assess	avaliar
assessment	avaliação
asset	de ativos
assign	atribuir
assignment	tarefa
assist	auxiliar
assistance	assistência
assistant	assistente
associate	associado
associated	associado
association	associação
assume	assumir
assumption	suposição
assure	assegurar
astronomer	astrônomo
at	às
athlete	atleta
athletic	atlético
atmosphere	atmosfera
atop	em cima
attach	anexar
attack	ataque
attempt	tentativa
attend	comparecer
attendance	comparecimento
attention	atenção
attitude	atitude
attorney	advogado
attract	atrai
attraction	atração
attractive	atraente
attribute	atributo
auction	leilão
audience	público
aunt	tia
author	autor
authority	autoridade
authorize	autorizar
auto	automático
automatic	automático
automatically	automaticamente
automobile	automóvel
autonomy	autonomia
availability	disponibilidade
available	disponível
average	média
avoid	evitar
awake	acordado
award	prêmio
aware	consciente
awareness	consciência
away	ausente
awful	ruim
baby	bebê
back	costas
background	antecedentes
backyard	quintal
bacteria	bactérias
bad	mau
badly	mal
bag	bolsa
bake	assar
balance	equilíbrio
balanced	equilibrado
ball	bola
balloon	balão
ballot	cédula
ban	banimento
banana	banana
band	banda
bank	banco
banker	banqueiro
banking	bancário
bankruptcy	falência
bar	barra
bare	nu
barely	mal
barn	celeiro
barrel	barril
barrier	barreira
base	base
baseball	beisebol
basement	porão
basic	básico
basically	basicamente
basis	base
basket	cesta
basketball	basquete
bat	morcego
bath	banho
bathroom	banheiro
battery	bateria
battle	batalha
bay	baía
be	ser
beach	praia
beam	viga
bean	feijão
bear	urso
beard	barba
beast	besta
beat	bater
beautiful	bela
beauty	beleza
because	porque
become	tornar-se
bed	cama
bedroom	quarto
bee	abelha
beef	carne
beer	cerveja
before	antes
beg	implorar
begin	início
beginning	começo
behalf	favor
behave	comportar-se
behavior	comportamento
behavioral	comportamental
behind	atrás
being	sendo
belief	crença
believe	acreditar
bell	sino
belly	barriga
belong	pertencer
below	abaixo
belt	cinto
bench	banco
bend	dobrar
beneath	abaixo
benefit	benefício
beside	ao lado de
besides	além disso
best	melhor
bet	aposta
better	melhor
between	entre
beyond	além
bias	tendência
bible	bíblia
bicycle	bicicleta
bid	oferta
big	grande
bike	bicicleta
bill	conta
billion	bilhão
bind	vincular
biography	biografia
biological	biológico
biology	biologia
bird	pássaro
birth	nascimento
birthday	aniversário
bishop	bispo
bit	bocado
bite	morder
bitter	amargo
black	preto
blade	lâmina
blame	culpa
blank	em branco
blanket	cobertor
blast	explosão
blend	mistura
bless	abençoar
blessing	bênção
blind	cego
blink	piscar
block	bloco
blond	loiro
blood	sangue
bloody	sangrento
blow	golpe
blue	azul
board	borda
boast	vangloriar-se
boat	barco
body	corpo
boil	fervura
bold	corajoso
bolt	parafuso
bomb	bomba
bombing	bombardeio
bond	vínculo
bone	osso
bonus	bônus
book	livro
boom	estrondo
boost	impulso
boot	bota
booth	cabine
border	fronteira
boring	chato
born	nascermos
borrow	pedir emprestado
boss	chefe
both	ambos
bother	incomodar
bottle	garrafa
bottom	inferior
bounce	ressalto
boundary	fronteira
bow	arco
bowl	tigela
box	caixa
boy	garoto
boyfriend	namorado
brain	cérebro
brake	freio
branch	filial
brand	marca
brave	bravo
bread	pão
break	parar
breakfast	café da manhã
breast	mama
breath	respiração
breathe	respirar
breathing	respiração
breeze	brisa
brick	tijolo
bride	noiva
bridge	ponte
brief	breve
briefly	brevemente
bright	brilhante
brilliant	brilhante
bring	trazer
british	britânico
broad	amplo
broadcast	transmissão
broken	quebrado
broker	corretor
bronze	bronze
brother	irmão
brown	castanho
brush	escova
brutal	brutal
bubble	bolha
buck	pinote
bucket	balde
buddy	camarada
budget	orçamento
bug	erro
build	construir
builder	construtor
building	construção
bulb	bulbo
bulk	massa
bull	touro
bullet	bala
bunch	cacho
burden	fardo
bureau	bureau
burn	queimar
burning	ardente
burst	explosão
bury	enterrar
bus	autocarro
bush	arbusto
business	o negócio
businessman	empresário
busy	ocupado
but	mas
butt	bumbum
butter	manteiga
butterfly	borboleta
button	botão
buy	comprar
buyer	comprador
by	de
cab	táxi
cabin	cabine
cabinet	armário
cable	cabo
cage	gaiola
cake	bolo
calculate	calcular
calculation	cálculo
calendar	calendário
call	ligar
calm	calma
camera	câmera
camp	acampamento
campaign	campanha
campus	escola
can	podem
canadian	canadense
cancel	cancelar
cancer	câncer
candidate	candidato
candle	vela
candy	doce
canvas	lona
cap	boné
capability	capacidade
capable	capaz
capacity	capacidade
capital	capital
captain	capitão
capture	captura
car	carro
carbohydrate	hidrato de carbono
carbon	carbono
card	cartão
care	cuidado
career	carreira
careful	cuidadoso
carefully	cuidadosamente
cargo	carga
carpet	tapete
carrier	portador
carrot	cenoura
carry	transportar
cart	carrinho
cartoon	desenho animado
carve	esculpir
case	caso
cash	dinheiro
casino	cassino
cast	elenco
casual	casual
casualty	acidente
cat	gato
catalog	catálogo
catch	apanhar
category	categoria
catholic	católico
cattle	gado
cause	causa
cave	caverna
cease	cessar
ceiling	teto
celebrate	comemoro
celebration	celebração
celebrity	celebridade
cell	célula
cemetery	cemitério
center	centro
central	central
century	século
ceo	ceo
ceremony	cerimônia
certain	certo
certainly	certamente
chain	cadeia
chair	cadeira
chairman	presidente
challenge	desafio
chamber	câmara
champion	campeão
championship	campeonato
chance	chance
change	mudança
changing	mudando
channel	canal
chaos	caos
chapter	capítulo
character	personagem
characteristic	característica
characterize	caracterizar
charge	carga
charity	caridade
charm	encanto
chart	gráfico
charter	fretar
chase	perseguição
cheap	barato
cheat	enganação
check	verifica
cheek	bochecha
cheer	alegria
cheese	queijo
chef	cozinheiro
chemical	químico
chemistry	química
chest	peito
chew	mastigar
chicken	frango
chief	chefe
child	criança
childhood	infância
chill	frio
chin	queixo
chinese	chinês
chip	lasca
chocolate	chocolate
choice	escolha
cholesterol	colesterol
choose	escolher
chop	costeleta
christian	cristão
christianity	cristianismo
christmas	natal
chronic	crônico
chunk	naco
church	igreja
cigarette	cigarro
circle	círculo
circuit	o circuito
circumstance	circunstância
cite	citar
citizen	cidadão
citizenship	cidadania
city	cidade
civic	cívico
civil	civil
civilian	civil
civilization	civilização
claim	reivindicação
class	aula
classic	clássico
classical	clássico
classify	classificar
classroom	sala de aula
clay	argila
clean	limpo
clear	claro
clearly	claramente
clerk	escriturário
click	clique
client	cliente
cliff	penhasco
climate	clima
climb	subida
cling	apegar-se
clinic	clínica
clinical	clínico
clip	clipe
clock	relógio
close	fechar
closed	fechadas
closely	de perto
closer	mais próximo
closest	mais próximo
closet	armário
cloth	pano
clothes	roupas
clothing	roupas
cloud	nuvem
club	clube
clue	pista
cluster	cacho
coach	treinador
coal	carvão
coalition	aliança
coast	costa
coastal	litoral
coat	casaco
cocaine	cocaína
code	código
coffee	café
cognitive	cognitivo
coin	moeda
cold	frio
collaboration	colaboração
collapse	colapso
collar	colarinho
colleague	colega
collect	coletar
collection	coleção
collective	coletivo
collector	coletor
college	escola superior
colonial	colonial
colony	colônia
color	cor
colorful	colorido
column	coluna
columnist	cronista
combat	combate
combination	combinação
combine	combinar
combined	combinado
come	vir
comedy	comédia
comfort	conforto
comfortable	confortável
coming	vinda
command	comando
commander	comandante
comment	comente
commercial	comercial
commission	comissão
commissioner	comissário
commit	cometer
commitment	compromisso
committee	comissão
commodity	mercadoria
common	comum
commonly	geralmente
communicate	comunicar
communication	comunicação
community	comunidade
companion	companheiro
company	companhia
comparable	comparável
compare	comparar
comparison	comparação
compel	obrigar
compelling	atraente
compensation	compensação
compete	competir
competition	concorrência
competitive	competitivo
competitor	concorrente
complain	queixar-se
complaint	queixa
complete	completo
completely	completamente
complex	complexo
complexity	complexidade
compliance	conformidade
complicated	complicado
comply	obedecer
component	componente
compose	compor
composition	composição
compound	composto
comprehensive	abrangente
comprise	compreender
compromise	compromisso
computer	computador
concede	conceder
conceive	conceber
concentrate	concentrar
concentration	concentração
concept	conceito
conception	concepção
concern	interesse
concerned	preocupado
concerning	relativo
concert	concerto
conclude	concluir
conclusion	conclusão
concrete	concreto
condemn	condenar
condition	condição
conduct	conduta
conference	conferência
confess	confessar
confession	confissão
confidence	confiança
confident	confiante
confirm	confirmar
conflict	conflito
confront	confrontar
confrontation	confronto
confuse	confundir
confusion	confusão
congress	congresso
congressional	congressional
connect	conectar
connection	conexão
conscience	consciência
conscious	consciente
consciousness	consciência
consecutive	consecutivo
consensus	consenso
consent	consentimento
consequence	consequência
consequently	consequentemente
conservation	conservação
conservative	conservador
consider	considerar
considerable	considerável
considerably	consideravelmente
consideration	consideração
consist	consistir
consistent	consistente
